Frame,Track_ID,Class_ID,Confidence,BBox_X1,BBox_Y1,BBox_X2,BBox_Y2,FPS
363,3.0,0.0,0.6066,4.0,175.0,1644.0,1076.0,2.51
364,3.0,0.0,0.6233,1.0,160.0,1641.0,1073.0,3.82
365,3.0,0.0,0.6179,0.0,138.0,1696.0,1077.0,4.17
366,3.0,0.0,0.745,23.0,146.0,1753.0,1079.0,3.74
367,3.0,0.0,0.7769,12.0,142.0,1849.0,1079.0,3.75
368,3.0,0.0,0.8506,6.0,134.0,1900.0,1079.0,4.26
369,3.0,0.0,0.8199,2.0,133.0,1920.0,1080.0,4.27
370,3.0,0.0,0.8192,2.0,131.0,1920.0,1080.0,3.75
371,3.0,0.0,0.8148,0.0,105.0,1920.0,1080.0,3.11
372,3.0,0.0,0.7989,1.0,94.0,1907.0,1080.0,3.61
373,3.0,0.0,0.773,2.0,90.0,1910.0,1080.0,3.35
374,3.0,0.0,0.7948,0.0,72.0,1883.0,1080.0,3.39
375,3.0,0.0,0.7487,0.0,73.0,1706.0,1080.0,3.53
376,3.0,0.0,0.7221,3.0,165.0,1820.0,1079.0,3.59
377,3.0,0.0,0.7298,5.0,176.0,1741.0,1080.0,3.41
378,3.0,0.0,0.792,24.0,149.0,1824.0,1080.0,3.7
379,3.0,0.0,0.7703,35.0,168.0,1805.0,1080.0,3.81
380,3.0,0.0,0.7871,16.0,173.0,1841.0,1080.0,3.59
381,3.0,0.0,0.8289,11.0,118.0,1844.0,1080.0,3.31
382,3.0,0.0,0.8617,1.0,81.0,1838.0,1080.0,3.58
383,3.0,0.0,0.8696,0.0,60.0,1835.0,1080.0,3.17
384,3.0,0.0,0.8862,0.0,43.0,1837.0,1080.0,3.2
385,3.0,0.0,0.8963,0.0,22.0,1827.0,1080.0,3.45
386,,,,,,,,3.9
387,,,,,,,,2.84
388,3.0,0.0,0.1079,0.0,0.0,1869.0,1080.0,3.69
389,3.0,0.0,0.1366,0.0,0.0,1908.0,1080.0,3.97
390,3.0,0.0,0.1282,7.0,0.0,1920.0,1079.0,3.49
391,,,,,,,,3.84
392,3.0,0.0,0.4266,13.0,1.0,1920.0,1057.0,3.92
393,3.0,0.0,0.7331,11.0,1.0,1920.0,1021.0,3.94
394,3.0,0.0,0.6938,11.0,1.0,1920.0,1034.0,3.65
395,3.0,0.0,0.6417,9.0,1.0,1920.0,1039.0,3.6
396,3.0,0.0,0.7461,8.0,1.0,1920.0,1039.0,3.92
397,3.0,0.0,0.7042,8.0,1.0,1920.0,1036.0,3.71
398,3.0,0.0,0.7482,8.0,1.0,1920.0,1033.0,3.72
399,3.0,0.0,0.6484,13.0,1.0,1920.0,1025.0,3.69
400,3.0,0.0,0.7356,10.0,0.0,1920.0,1042.0,3.59
401,3.0,0.0,0.6698,16.0,0.0,1920.0,1032.0,3.51
402,3.0,0.0,0.7142,26.0,0.0,1920.0,1027.0,3.58
403,3.0,0.0,0.7148,25.0,0.0,1920.0,1023.0,3.4
404,3.0,0.0,0.7313,34.0,0.0,1920.0,1022.0,3.3
405,3.0,0.0,0.7495,17.0,2.0,1920.0,1033.0,3.14
406,3.0,0.0,0.7063,24.0,1.0,1920.0,1024.0,3.76
407,3.0,0.0,0.6947,21.0,0.0,1920.0,1022.0,3.38
408,3.0,0.0,0.6373,11.0,0.0,1919.0,1026.0,3.61
409,3.0,0.0,0.6335,7.0,0.0,1917.0,1034.0,3.84
410,3.0,0.0,0.6157,6.0,0.0,1916.0,1034.0,3.79
411,3.0,0.0,0.6686,3.0,0.0,1916.0,1027.0,3.56
412,3.0,0.0,0.6624,4.0,0.0,1917.0,1012.0,3.53
413,3.0,0.0,0.672,2.0,0.0,1916.0,1011.0,3.33
414,3.0,0.0,0.691,1.0,0.0,1916.0,1007.0,2.55
415,3.0,0.0,0.7004,0.0,0.0,1915.0,1002.0,4.08
